No.,Subject,Review
436,WIA2008,I've started producing with live in a week. Amazing and clear course.
437,WIA2008,Brilliantly designed course for fundamental understanding of the DAW.
438,WIA2009,"This course covers a lot of ground in a short period of time, and does it in a way that makes it easy to quickly leverage the power of Ableton in production and live performance. I appreciated the simplicity and thoroughness of the videos, and the assignments kept me motivated. It's a great class for complete beginners, as well as intermediate users in need of a brush up. Erin has a good approach to teaching: she's efficient and clear, and her basic examples don't overwhelm the student."
439,WIA2010,none
440,WIA2009,it's a great introduction to ableton but nothing more
441,WIA2010,no comment
442,WIA2009,Keeps me connected to music and music technology even in my work life
443,WIA2009,"Learned a lot. Got me started and using the program, and making music."
444,WIA2010,"This is a great intro class, designed to be completed within the Ableton trial period. Ableton should pay Erin a commission on sales that come out of this course, because I imagine it's bringing them 100s of new sales!The materials (mostly videos) are excellent and easy to follow. I learned a lot in this short class and would love to see an ""intermediate"" Ableton class in the future.My only complaints are related to the collaboration software that you need to use for this course, blend.io. Site navigation in blend.io can be painfully slow, and the site is buggy. I would have preferred to simply share information via dropbox or some other file sharing method.The peer review process is a great idea, although I think it's really tricky to do this in a music/art, because there is so much subjectivity and not much of a rubric. (There are some quantitative questions just to verify that the student follows instructions, but the open feedback is totally open). But, overall, the peer review works pretty well and gives students an additional incentive to turn in a quality product."
445,WIA2010,Great course. Won't say anything else... if you want to know how it is you must try it!
446,WIA2010,"Great introduction to Ableton Live. Covers all stuff you need to know, and helps you through some stumbling blocks."
447,WIA2011,all good
448,WIA2010,"Excellent introduction to live 9. Very comprehensive, easy to understand."
449,WIA2010,-
450,WIA2010,Excellent for learning the basics!
451,WIA2010,"Great course! For very short time you'll learn so many amazing things. You will know in depth one professional software for music composition. You'll create 3 compositions which will be placed in musical website and hundreds or thousand of other musicians will hear it and vote for it. You will be part of wonderful group of other musicians like you taking part in the same course. You will be able to discuss with them important subject's... Great course. Thank you, Erin, David!"
452,WIA2010,Really good resource for anyone wanting to learn the basics of a super flexible software.
453,WIA2010,"Great instructor, I like how you can go back and keep going over the instructional videos throughout the course."
454,WIA2010,This course is a challenging into to Ableton Live. It is well worth the time for even experienced producers who are new to Ableton Live. I first got Ableton Live in November 2015. It is now January 2016 and I feel like I have come a long way thanks to this course.
455,WIA2010,Fun course! Excellent for beginners. By week two you are able to make an arrangement already.
456,WIA2010,"Great to start with Ableton, even i start with some youtube tutorial, this course really works for me cause i can see some errors i did."
457,WIA2010,interesting and easy learning!
458,WIA2010,"The MOOC teaches what it is supposed to, although more classes would be nice since Ableton is such a big program."
459,WIA2010,Erin is a great and easy to follow instructor! Thank you.
460,WIA2010,"Great Course, lots of feedback from your assignments!"
461,WIA2010,"anyway, I can start to make music after this course."
462,WIA2010,Thank you so much for this course. Really... very neccesary and important for people who loves music.
463,WIA2010,"I never ever would have gotten started with Ableton if it weren't for Erin's course. She made it SO easy to understand. For years, people have tried to explain it to me but only Erin succeeded in making it sink in! This course ROCKS."
464,WIA2011,-
465,WIA2010,Very good course for learning how to work in Ableton. Professor Barra teaches really great.
466,WIA2010,
467,WIA2010,"The course is an awesome intro. It could be longer! These Coursera Berklee courses are so short, sometimes they feel like advertisements for the Berklee online courses."
468,WIA2010,I thoroughly enjoyed this course. The time commitment required for each week's assignment was perfect. I learned several techniques to aid me in going forward in my musical endeavors and look forward to many years of continuing to explore Ableton Live.
469,WIA2010,Great course waiting for level 2 :)
470,WIA2010,Great course! Helped me to get started with Ableton Live.Video lectures were straight to the point.
471,WIC2004,Excellent! the best way to learn!
472,WIC2004,"At this moment, I'm in the week 2 and I'm loving it...I'd really recommend it."
473,WIC2004,Very good instructions of the teacher!
474,WIC3002,"Very good introduction to this software, teatcher is great and very easy to understand. I have learned a lot of good stuffs such as how to warp audio, convert audio to midi and so on... I was used to work on cubase and I have discovered the specifities and the advantages of Live.Moreover thanks to the assignment objectives I had to force myself to be creative and It was a great feelig.Thanks for this course :)"
475,WIC3002,Great starting point for learning how to use Ableton Live.
476,WIC3002,"Really nice.. Basic, but just right.."
477,WIC3002,This course got me fluent enough with using Ableton that I can sit down and play around with it comfortably and create music. Very pleased
478,WIC3005,"This was such a cool way to get started again with music production!!...I'm so glad I found this course, and Erin was perfect, she made everthing so clear and easy...I wish it was a longer course tho!"
479,WIC3005,"It's amazing that we live in an age where you can take online classes like this for free.I went from not knowing my way around Ableton to being able to make simple tracks in a few weeks.The course load is pretty light, but it makes it easy to stay motivated and keep up from week to week.The instructor has her quirks, but don't we all. I feel like this course is great for introducing someone who has prior experience with writing music and using DAWs to Ableton Live. However, for someone who already knows the basics of Live, this probably won't be of too much use."
480,WIC3005,I enjoyed very much the lessons and I had a very good time on preparing the assignment on Ableton.A great course.
481,WIC3005,"It helped me to improve myself, understanding Ableton Live and getting better in working with the program."
482,WIC3005,"Awesome, Useful, very practical! Erin is a wonderful instructor."
483,WIC3005,A great course. It does teach you the essentials on how to begin making music with Ableton live. It even helps you search on your own if you troubleshoot. Its definitely worth it!!!
484,WIC3005,Very good course for does how just starting with Ableton.
485,WIC3005,"Great, specifically for its collaborative approach."
486,WIC3005,"This is an amazing course ! it is my second time taking it. Instructor Erin Barra does a great job with the tutorials, she really knows her stuff."
487,WIC3006,N/A
488,WIC3005,I have being waiting for this a long time :)
489,WIC3005,Good information!
490,WIC3006,Fantastic Teacher - very clear. Fun assignments and a very participatory community of students!
491,WIC3006,"work motivational, very clear, well structured on a steady groove ... excellent!"
492,WIC3006,Very good basic course. Enjoyed it very much
493,WIC3006,I am very grateful i came across this Course.
494,WIC3007,no comment
495,WIC3007,Very interesting.
496,WIC3007,Very useful !
497,WIC3007,Its just the best!
498,WIC3007,Great Introduction into the program....a quick look. I felt the tutorial in the program covered a lot and most of the info here can be found on youtube. Although you don't get a certificate for watching youtube
499,WIC3007,It is very nice for people are starting with abletobn program
500,WIC3007,"For anyone getting started this is a great course to do it with. I'm retaking this course as a refresher since I took the same class in the beginning of the year. I've been very busy so I forgot some functions. The videos & explanations make it very easy to get reacquainted. Plus what's more fun than getting some more production in, hearing your own creations & everyone else's for that matter. =)"
501,WIC3009,"This is already very, very helpful with mastering the use of Ableton, understanding how the I/O functions work, and polishing a track to the mastering level. Great program and very intuitive!"
502,WIC3009,Great overall introduction to start creating straight away. Liked it much!
503,WID3007,"Great course, I just wanted it to be more thorough :) But for beginners like me, it really helped a lot! Thank you!"
504,WID3007,Excellent introduction to Ableton
505,WID3007,Definitely recommend this short course which gives a good overview of Ableton Live's capabilities and how to use them.
506,WID3007,I love it!
507,WID3007,"good, straight to the point Course, you can learn other things in this course like Blend.io"
508,WID3007,I'm now taking this course a second time because it is so absolutely helpful and has really given me a free and friendly place to learn how to use Ableton and get started on music production!
509,WID3007,Dr banyak membantu
510,WID3007,Erin Barra is awesome..!!! Really good course to get up to speed with ableton.
511,WID3007,Excellent Course... Erin Barra is really excellent in teaching. Now I can proudly say even i can work in ableton live nicely. Thank you Coursera
512,WID3007,Great intro. Really gave me confidence with the DAW.
513,WID3007,
514,WID3007,This is a great course to introduce anyone interested in music production. I would recommend this course to any and everyone. Thank you Berklee and Erin! Can you tell I enjoyed this.And the Beats continue.Johanna -JKM
515,WID3008,"Really, really nice for learning the basics of Ableton Live. The instruction videos are short and concise, and there's a clear path forward after the course."
516,WID3008,Great class to get your feet wet with ableton.
517,WID3008,Everything on this course was amazing!Congrats and thanks so much for all!
518,WID3008,Great course. Got me started off with Ableton live. :)
519,WID3008,N/A
520,WID3008,Great tools and solid instructions. Thanks!
521,WID3008,This was an excellent course that was well explained and easy to follow.
522,WID3008,"Fun and interesting course. I learned a lot, despite already being a Live user. Reviewing the assignments of other course-takers widened my horizons and helped me gain valuable insights."
523,WID3008,"Real a great course if you are looking to learn the basics of Ableton Live 9 or just need a refresher after the break. Erin does a wonderful job of explaining the basics with out overloading you with to much information. Each assignment is to make a song. It starts with basic stuff and works toward more advanced stuff near the end. It's helped motivate me to put more time into making music and use the tools and software that I have at my disposal.A personal thanks to Erin, this class is just what I needed!"
524,WID3008,"Fantastic Course, i have saved the videos so i can review them again.I thoroughly enjoyed it, all over again. This was the second time i joined Introduction to Ableton Live but this time i decided to get my verified Certificate yay! Thank you Erin!"
525,WID3008,"Thank you so much Jeff, iy was usefull course, i think it needs to extend the material and learning's period.Thank you so much!!!"
526,WID3008,Very excellent class. Lots of great information.
527,WID3008,i had a great knowledge !thanks for offering this course i don't have such course in india .
528,WID3008,N/A
529,WID3008,Awesome Course. It was quite challenging though
530,WID3008,"This particular module (week 3) is written for those students who are already have at least a nodding acquaintance with the software.The videos move so fast that I am not able to detect what is going on. Please believe me when I say that I run a copy of Fusion 360 at the same time as a particular instructional video is playing. I toggle from one to another, taking notes from the instructional video when possible. Still, it takes me weeks, not days, to understand what the professor is doing.It is true that there are several online tutorials with regard to using the sketch tools contained within Fusion 360. I have been reviewing the tutorials that I am able to find -- and I have learned quite a bit of ""how-to"" information that this particular module does not provide.Why is it that some of us who are new to the Fusion 360 environment have come to understand that we need to spend hours of our time to ""fill in the blanks"" of week 3?Are we to keep searching other sources so that we can learn what has not been taught in Week 3? If so, why?Bill Clark"
531,WID3008,"This course introduced me to the different software tools that can be used for 3D Printing. I recommend this course, as well as this specialization, to anyone interested in 3D Printing."
532,WID3008,more details on ther software would definitely be useful
533,WID3008,"The instructor does an excellent job, but realistically there is no way to be proficient enough in a 3D software program after a week or two to earn a certificate. The certificate is worthless in my opinion. I liked the class but it seemed more like intro vs. a class of any proficiency required."
534,WID3008,"The course was enjoyable for the most partand I increased my skill level. The videos, for the most part, were good. However, consider revising some of the one for Fusion to include demonstrations for the sweep, loft, and revolve tools in the Sculpt mode if they are to be included in assignments. These were not as intuitive as the others and required reliance on videos found on Autodesk as well as Youtube. Additionally, it would be helpful to slow the pace in illustrating ""how-to"" in the videos. There seemed to be steps omitted and I found it difficult at times to reconstruct all the steps. Finally, I noticed that staff/mentor help was not readily available for weeks, when participants posted queries in the forum."
535,WID3008,This class was inspiring! I't was worth the wait. Thank you!!
536,WID3008,Very interesting course. Maybe Fusion 360 may have lasted one more week to get more indepth knowledge
537,WID3008,
538,WID3008,Interesting and very useful course.
539,WID3008,It gave me a good understanding of the software capabilities.
540,WID3009,the introduction to Fusion is more a customer presentation to advanced CAD user than a tutorial for newbies.
541,WID3009,Wow! It was such an inspiring journey!
542,WID3009,"The bi-weekly assignments mixed with the bi-weekly lessons is a really great course structure. The audio on some of the videos interviews can be poor, and I wish some lectures, especially the last one were more in depth, but over all great course with a good pace."
543,WID3009,Excellent course you should make more courses like this
544,WID3009,"it was really an amazing experience , wonderful course with a lot of knowledge to learn , a lot of facilitations that make studying process very interesting , thanks a lot for your efforts , I'm very enthusiastic to have a visit to the Leiden medical school and center one day ^_^ and continue to learn from such a great medical staff =D"
545,WID3009,I loved this course. I've been teaching Anatomy to physical therapist students for two years and this course helped me a lot to improve my teaching. Thank you for your hard work!
546,WID3009,Very interesting course! Great videos and instructors. T
547,WID3009,I'm so glad Leiden University is working with Coursera. Such a great course!
548,WID3009,"This is a great course, i am happy that you gave me the opprtunnity to get a certificate. Its a subject i really feel i gain more knowledge now."
549,WID3011,"Well-organised , Very good for beginners and intermediate learners ."
550,WID3014,no
551,WID3014,i never saw like this very very amazing worki would like to repeat this course 10 times
552,WIE3001,I love it ! Thanks for doing this for us
553,WIE3001,iam soooo happy to joined to this course which help me to evaluate my skills and increase it
554,WIE3001,A good refresher in abdominal anatomy. Though with some negatives. The accent was difficult to understand at first. Most of the course content is for beginners in undergraduate level. Yet it is still good.
555,WIE3007,Do you have an idea how lucky you are to have access to a course like this?! Normally you would have to be enrolled in med school.
556,WIE3007,Fantastic videos walking through anatomy on a real human body!
557,WIE3007,difficult course that is full of information but if anatomy is your 'thing' then this is a very good course to take.
558,WIE3007,incredible content and resources!
559,WIE3007,"I really want to thank you all! In fact ,i never have experienced that awsome lecture! The embryology is the most diffucule lesson to me,and through this lecture,I don't think it is boring and hard to understand.At the same time, I really acknowledge using what you have leraned is the coolist thing in the world.You can figure out how responsible the teachers are(include every individuals who participate in this lecture's making) !thank you all again!!"
560,WIE3007,-
561,WIE3007,"Tough course, but fascinating and very well presented. I was never going to pass the final test because I just do not need to know the detail. However, I'm very grateful to have got to the finish line. Thank you."
562,WIE3007,amazing course help me alot
563,WIE3007,"is a very very boring curse, don't recommend anyone, please for your good at everyboduy else kill this course, don't embarrass yourself and the universities that represents"
564,WIE3007,"Outstanding, clear, well-explained, not overwhelming. Dissections really aid to have a more realistic understanding. Good supplemental materials cover the material with great focus, and if more details are needed it is easy to get those elsewhere. Great effort by U. Leiden!"
565,WIE3007,it is a very good course escpecially for medical student
566,WIE3007,
567,WIE3007,Excellent!!! I am impressed; they explain very well and it is very interesting to learn from them despite their accent.
568,WIE3007,great course with great dissection videos. course materials are very interesting. I understood the anatomy of the abdomen which medical school couldn't teach me.
569,WIE3007,very hard course but extremely detailed one.
570,WIE3007,I am dropping this course. don't e-mail any more for this course. How do I unroll in this course.
571,WIE3007,"V difficult, but rewarding!I did not get the grade I thought I would in this class...but I learned a lot more than I thought I could! Very in depth and thorough, I think I value the knowledge I received more than the sub-par grade I received. ;)"
572,WIE3007,"The course itself is 10 out of 10: overwhelmingly informative, presented in a totally engaging manner, lots and lots of visual aids. Fly in the ointment: teaching assistants (called mentors here) apparently have come from very different (including hierarchical) societies and learners are required to take the mentors' diversified background and attitude into consideration. Not vice versa."
573,WIE3007,very hard but excellent course
574,WIE3007,I thoroughly enjoyed the course.
575,WIE3007,"Nice course, a difficult one but very challengeable. Nice structure and easy to understand.I wanted to refresh my knowledge in anatomy and in such gained a whole lot more in return.Thanks to the Professors for their time and effort in making this MOOC.Very pleased."
576,WIE3007,"Not meant for learners new to the medical field. Despite the challenges, the material is very fascinating and anyone interested in anatomy will learn something. The course utilizes outside research. I might enjoy the whole course experience more if the design were not so technical. I do, however, appreciate the challenge and seriousness of the topic."
577,WIE3007,"Great course, like the way of teaching. Really starts from noting and goes to a senior level of knowledge."
578,WIE3007,"Very good material, explainations and teachers. Recommended for everyone who wants to learn."
579,WIE3007,Im loving it so far.
580,WIE3007,"Very good course, still in the beginning, but liking so much."
581,WIE3007,Excellent course and well designed. Even though some of the concepts where harder for me to understand I now have a basic understanding of the structure of the abdomen.
582,WIE3007,Nice and necessary course.
583,WIE3007,Me gusto mucho
584,WIE3007,me gusto mucho
585,WIE3007,chevere
586,WIE3007,"I loved it, was very funny and relaxing."
587,WIE3007,"EXCELENTE CURSO.GRANDES TUTORASEXCELENTE METODOLOGIA DE ENSEÑANZA Y APRENDIZAJE.SE ABORDARON LOS TEMAS DE MANERA ENTENDIBLE, COMPRENSIBLE Y CON RETOS QUE INVITAN A RAZONAR Y APLICAR LOS CONOCIMIENTOS ADQUIRIDOS.ESPERO PIENSEN ELABORAR UNA SEGUNDA ETAPA DE INTERMEDIA Y AVANZADA"
588,WIE3007,So far the course is just a tutorial for using Scratch and they're not teaching how to program that is the name of the course.
589,WIE3007,Muy buen curso para aprender Scratch.
590,WIE3007,Very wonderful course to learn the basics of programming using the amusing and interactive language Scratch
591,WIE3007,"A course offering very accessible, clear introduction to the concept of programming seen as a network of algorithms, supplanted with a myriad of real-life examples. It then introduced a comely intuitive software, developed by MIT - Scratch, which enables you to practically start creating animations and thus programming. Even though i'm not a fluent hispano-hablante, just the knowledge of English and some classical culture should make it possible for you to follow. At the same time, should that be too complicated, there should be subtitles/English language version to all the videos and of all other materials. Have NOT tried that though."
592,WIE3007,Very easy and good explanations
593,WIE3007,
594,WIE3007,"The male Professors seem to speak Chinese half the time, therefore not being able to understand the material for students who aren't fluent in Chinese. I prefer the female Professor from Advanced Neurobiology I who presented the material in English, and in an engaging and coherent way."
595,WIE3007,"The topics are really interesting and advanced! However, there's a lot of talk in chinese, due to questions/answers from teacher and students, and the quizzes are a bit too easy. I learned a lot though."
596,WIE3008,"If you don't speak Chinese it's a terrible course...The lectures are recorded from lectures at university and the rhythm is very slow and not very well explained (at least the first week). The transcriptions into English are incomplete, so understand this course is very very complicated.I do not recommend it at all."
597,WIE3008,Excellent!!!!!!!!!!!!Really Advanced course with many many resources!
598,WIE3008,This course teaches us tips of effective and constructive way of discussing !
599,WIE3008,-
600,WIE3008,I like the way it's presented.
601,WIE3008,Great course and very great exercises
602,WIE3008,Great Course... Although I feel we must discuss more case studies
603,WIE3008,Very useful insights and definitely a knowledge enhancing course
604,WIE3008,"Very interesting, well- explained, and practical course. Unfortunately you need the Excel 2013 professional to complete it and make the most of it."
605,WIE3008,In depth step by step explanations in how to use Excel for Analysis and Visualization
606,WIE3008,"I have already had the basic skills in excel, but I learned many new things. The explanation was very clear and I enjoyed the lessons very much. At this moment, I cannot spend money for my own learning since I spend much money for the education of my child, but courser and pwc gave great opportunities for me to learn as an auditor."
607,WIE3008,Great Course. Lots of Analytics features from Excel... I love itttt
608,WIE3008,Good basic skills for creating clear and compelling graphs for visualizing data
609,WIE3008,-
610,WIE3008,Great!
611,WIE3008,Great course. Well structured and each concept was explained very well! Made me feel enthusiastic about learning more.
612,WIE3008,A superb learning experience
613,WIE3008,Good course for understanding how to create advanced level of charts.
614,WIE3010,This course gave me the opportunity to learn a lot. Thanks to PwC
615,WIE3010,"Excellent course and it has opened my eyes to the wide array of Excel Power tools and their ability to provide simple, yet powerful visual dashboards for executive decision-making. Thank you for the opportunity to participate in the course."
616,WIE3010,Useful information about Visualization in Excel and data presenting.
617,WIE3010,Very helpful! I have acquired a lot new skills from this course!
618,WIE3010,"Very good overview and practical exercises to keep learners focus. Exercises can be very technical, get ready to spend more time on it."
619,WIE3010,Very informative and more relevant than other courses for a business environment involving simulations of economic phenomena
620,WIE3010,I had not any ideas about powers of Excel! Thank you a lot!
621,WIE3010,"There are some excellent tools covered in this course. It is advanced level learning of Excel. There were a few glitches in the program. There was missing content at times. Overall, I was impressed with what the course covered."
622,WIE3010,A great course for people working with data
623,WIE3010,"Excellent course materials, very applicable for professionals who work with data"
624,WIE3010,"Practical, step-by-step guide and easy to understand, thank you very much for PwC instructor's efforts to design and develop such a fantastic course, look forward to completing the whole specialization!"
625,WIE3010,Very nice course and very helpful. It really helps to gain the in-depth visualization and analysis skills
626,WIE3010,"Great business practice advices, but not very rich with real life practice, like print preview, professional colour theme chosen, etc.Achieved: 2017-02-26"
627,WIF3005,"Hi,I am very excited about the course, thank you and your team for excellent overview of data analysis and visualisation tools in Excel. All videos are very consistent and contain very clear and informative message."
628,WIF3005,Good practical introduction! Good course.
629,WIF3005,Very useful and comprehensive
630,WIF3005,I really learned a lot during this course especially how to build data models and dashboards. Well worth the time spent.
631,WIF3005,Excellent materials and approach. It was a very useful course.
632,WIF3005,Great course to data analysis and excel!
633,WIF3005,Good one..!
634,WIF3005,having studied competitive strategy and now moving on with advanced strategy course. It illustrate more details to me which will help the work. Also the knowledge obtained involve lots of new ideas.
635,WIF3005,I've know many skills in competition with many true cases. Thanks!
636,WIF3005,"Good content but the Chinese translation is bad, which makes quiz quite obscure in meaning"
637,WIF3005,"Not difficult to understand,interesting,helpful when making choices."
638,WIF3005,very useful course. And thank for professor's clear instruction.
639,WIF3005,An interesting course and thank you for translating it.
640,WIF3006,The course is more about business competitive strategy and there are lots of live examples. Thumb up!
641,WIF3006,This course is very helpful to make me understand the economy and the finance th
642,WIF3006,I am very excited that I have been able to successfully complete my first Specialization.Great course!
643,WIF3006,tiada
644,WIF3006,tiada
645,WIF3006,"It was an excellent challenge that tested all my previous skill acquire along the specialization. I really enjoyed myself with this course. Give it a chance and do your best. Certainly, you will succeed.Cheers!"
646,WIF3006,"The course content is great, but peer evaluation is simply useless and almost random. This specialisation needs to introduce an actual final assessment by an actual expert, not peers."
647,WIF3006,Writing research paper is one of the most useful courses for all professionals.
648,WIF3006,I have learned so very much. All of the courses in the specialization have been taught in a way that has been easy to understand. I will miss Tamy Chapmans smiling face.
649,WIF3007,"I would love to thank you for your hard working. It was a good course. I have learnt a lot from you. In addition, I'm looking forward to participating with you on another course. Thank you once more again."
650,WIF3007,It is a great moment in my academic experience. Thank you Prof Tamy.
651,WIF3007,no comment
652,WIF3007,Terlalu banyak assignment
653,WIF3007,"Really insightful course giving a really amazing insight to the past political climate of the US, but also really shedding light on the current climate as well."
654,WIF3007,"I very much enjoyed learning more about Thomas Jefferson through the required readings and Professor Onuf's lectures, and would recommend this course to anyone wanting to know more about the third president of the United States and the University of Virginia. My time was well-spent."
655,WIF3007,"Excellent class! This is an overview of who Jefferson was, what he really thought and believed in, what his contradictions were and why they existed, and how the perception of him has changed through different historical periods. I thought I knew a reasonable amount of information about Jefferson and the revolutionary period, but I learned so much about the historical and cultural context of the time and how it shaped Jefferson's thoughts!Given our current judicial system's split over whether the constitution should be regarded according to the 'originalist' intention or whether it is a living document, I was surprised to find that Jefferson himself saw it as a living document, to be reshaped by each generation. Understanding why he thought that is really essential to understanding how to think about the problem today. So this isn't just history, it's current events!I was concerned that the course seemed to be all lecture, but by the second week I was hooked. Dr Onuf is a compelling speaker, and tries to convey who Jefferson was, the world he existed in, and get you to think about Jefferson in all his complexity. The reading material is all pertinent, and (thank you!) not overwhelming. This course is ""right-sized"" for an online forum. I think you could spend about an our or maybe two per week on the lectures and reading material, and do fine. You would do yourself a favor to view each lecture twice though, as there is a lot of material in each one.I would consider retaking the course for review, and would definitely take another course from Dr. Onuf. This was terrific, and I don't say that lightly."
656,WIF3007,"Exciting presentation. Excellent portrial of the periodic changes in thinking of TJ with his rise, fall and revival. While a conroversial thinker he truly was a renaissance men that will inspire future generations. America would not be exceptional, nor even a free country, empowed by the people."
657,WIF3007,"My only recommendation would be to add more photos, maps, illustrations, etc to the lectures, instead of twenty minutes of the camera pointed at the professor. It would help keep the attention of the viewer, in my opinion."
658,WIF3007,The course is really nicely done. Also for non-americans it is interesting even though a lot of background knowledge might be missing. But you have to be aware it is really more focused on the ideas of Jefferson and less on all the discussions and fights he had with his fellow statesmen at that time. I would have wished to learn also more about those.
659,WIF3008,"Great Course! A profound analysis of Jefferson ideal and wish for the nation to be. This course demonstrate how great, clever and wise Jefferson was. Now I can better understand what JFK said during a Nobel prize winner reunion at the White House: This is the highest concentration of intelligent in this house since Jefferson had dinner alone. Thank you for sharing this course on the net."
660,WIG3008,"Excellent course! I learned so much about Jefferson, and I appreciate Dr. Onuf's expertise on the subject."
661,WIH3003,Great lecture series on Jefferson's civic thoughts and writings.
662,WIH3003,The lectures are so thought-provoking and enlightening... Thank you very much!
663,WIH3003,Fantastic course by Dr. Onuf! I learned much and he helped correct misconceptions I harbored regarding Thomas Jefferson. Great videos and selected readings. The quizzes were relatively challenging.
664,WIH3003,Very Thankful for this course...
665,WIH3003,I loved the tour of the campus. It fit the material and made it seem more like a college setting than watching lectures on a screen in a class room all the time.
666,WIH3003,This is everything a Coursera course should be! Amazing videos and lectures that are well organized.
667,WIH3003,"I already love this and not just because Jefferson is my life long love affair, nice."
668,WIH3003,"Really interesting to get such a deep perspective on Jefferson. I had very little interest in him, even growing up in his home state of Virginia, but now I can't wait to learn more. This is a great course worth a fantastic instructor. Highly recommended!"
669,WIH3003,I take my hat off for the passionate professor Onuf. It was a big pleasure to attend his lectures. They deepened my understanding of the American Revolution.
670,WIH3003,"I was terribly disappointed in this course. Mr. Onuf spends the majority of these lectures implying what Jefferson thinks without discussing much in the way of actual history. Further, the course seems more of a commercial for the University of Virginia than anything else. Overall, a waste of time."
671,WIX1001,Great course
672,WIX1001,Fantastic stuff for anyone interesting in the subject matter.
673,WIX1001,I found the course interesting and very stimulating. It allowed insight into a very interesting period in world history.
674,WIX1001,outstanding prof
675,WIX1001,Exceptional course! I would have enjoyed several more weeks. Dr. Onuf's style and methods in presenting the material made it possible to understand Jefferson in a way I have not understood him before. Wonderful teacher. Thank you.
676,WIX1001,Really interesting and enjoyable course.
677,WIX1001,
678,WIX1001,
679,WIX1001,very informative
680,WIX1001,"As a former student of UVA, it was wonderful to see the place again, listen to some of the stories we heard around ""grounds"" -- no campus here -- back when I was a teenager. I have followed Jefferson's life story, but Professor Onuf still manages to tell me some things I didn't know. Well researched lectures."
681,WIX1001,"Being Australian, I knew nothing about Jefferson so I came to this course with no expectations. I found it fascinating as it explained not only about Jefferson but about the American model of Government and Americans unique view of their nation. It is sometimes puzzling to an outsider to see this super nationalism and allegiance to the Constitution and Declaration of Independence. As an aside, I wonder what Jefferson would think of the apparent obsession with the literal words of the Founding Fathers with respect to things like gun control. Very interesting indeed.Mr Onuf is an excellent lecturer. You brought the topic aliveThanks"
682,WIX1001,Great Course
683,WIX1001,I knew nothing about Jefferson before this course and nothing about his 'age' - not sure I am much the wiser about the latter after it! I enjoyed the tours round the historic sites and I thought the lecturer came over as warm and enthusiastic but it seemed he was preaching about a saint rather than giving a detached academic assessment of a historical figure and I found that it was hard to see the wood for the trees at times. Hagiographic might be an unkind description but it was certainly very respectful to the great man. I also liked the use of a student in cooperation with the lecturer.- he set the scene well and was a good interviewer.
684,WIX1001,The lectures are just videos of the professor bloviating about Jefferson. There is nothing academic about this course.
685,WIX1001,Useful orientation for a good American who more or less slept through all of his American hx courses in his callow youth. I have a much better sense of the important (if controversal) role Jefferson played in forming the values and structure of the US.
686,WIX1001,
687,WIX1001,Terima kasih Dr
688,WIX1001,"Great course that take you nicely through the intricacies of agile planning for software products. The instructors are knowledgeable and the material is good. The videos cover a lot, but the complementary cours notes and the supplemental resources makes it easy to review and use the material in practice during actual work situations."
689,WIX1001,"Lots of well structured content, easy to follow and informative. You know it's the tip of a large iceberg, so it's a very good way to start and let you wanting for more."
690,WIX1001,This course gets better as you move into the course!
691,WIX1001,"Great Course, Learnt alot of extremely useful tools for managing software products."
692,WIX1001,Good for learning to plan software product development using Agile
693,WIX1001,Very interestening for starting in Agility. I learned and understood a lot of things.Easy to understand for not English mother tongue.Thank you very much.
694,WIX1001,Dr baik
695,WIX1001,Good Planning methodologies and examples
696,WIX1001,"Really learning alot, well explained and illustrated."
697,WIX1001,Really like this course! I think it is the best one in this specialization. Thank you all!
698,WIX1001,"Tons of great info! However, it would great to go over more of the real-life applications of the concepts."
699,WIX1001,Great course
700,WIX1001,That course is great! All material is described in easy form. I like very my tasks that had to be done and then put marks by other students.
701,WIX1001,It is very full package of knowledge and tests. I have a lot of new opportunities due to this course. Thank you.
702,WIX1001,It is excellent course in terms of the knowledge that I gain. However the multiple choice questions are a little bit default to understand. It is look like that you are examining our English skill :)
703,WIX1001,"Really helpful course! Thanks, Coursera!"
704,WIX1001,It is great learning experience..
705,WIX1001,
706,WIX1001,This course has helped me increase my knowledge and skills in project planning using Agile.
707,WIX1001,Pretty good.. A bit tough compared to the rest though.
708,WIX1001,As usual for this specs - a very high quality course.
709,WIX1001,"Great examples used in course videos. The Course Notes might be a worked on a bit more in terms of models and examples, but they are quite extensive and an invaluable resource. Teaching staff is quick to respond to forum questions, which is great!"
710,WIX1001,"Quite interesting, may be not deep enough but great course nevertheless!"
711,WIX1001,Full of new information on agile planning!
712,WIX1001,great course
713,WIX1001,"The most robust course in this sequence. It is well designed, very clear, teaches useful material effectively, and is fun to take."
714,WIX1001,Very easy to understand.
715,WIX1001,I think some estimation methods are not really realistic
716,WIX1001,
717,WIX1001,Another great course in the specialization! great instructors who are very passionate. Truly make it fun and interesting to learn.
718,WIX1001,Great course
719,WIX1001,"My least favorite part of the course, but it was still put together well. Content just isn't as interesting as the rest of the specialization. Felt a bit too ""Project Manager' instead of the Product Manager."
720,WIX1001,It's very usefull course
721,WIX1001,Was great course.
722,WIX1001,Great course! Very useful information for beginners and for those who already has an experience with agile planning.
723,WIX1001,"Some part of learning material not concern to agile planning, for exampe absolutly not mentioned kanban planing."
724,WIX1001,This is a good series course to coach Agile process with generic pro
725,WIX1001,Really enjoyed t
