No.,Subject,Sentiment,Sentiment_Score,preprocessed_text
546,WIE3007,positive,4,relate learn syllabus current industry situation need
547,WIE3007,negative,2,con much talk lecturer not_much handson demonstration question student answer use ai do student unreasonable assessment requirement
548,WIE3007,negative,2,lecturer could answer query sincerely not_copypaste answer gpt besides give clear constant rubric assignment not_change rubric halfway
549,WIE3007,negative,1,feedback give not_clear not_answer question
550,WIE3007,negative,2,teaching deliver clearly coherently good pace lecturer not_give much emphasis grade must speak clearly class
551,WIE3007,neutral,4,assignment requirement keep change hard time accommodate
552,WIE3007,positive,4,learn improve dr could explain teach software instead ask u incorporate assignment
553,WIE3007,positive,4,teach need comprehensive encourage student share view desire answer also give scheme guide student
554,WIE3007,negative,2,faculty ensure necessary software available student use keep date software update make full use computer lab not_for decoration
555,WIE3007,positive,4,
556,WIE3007,positive,4,would better course material spectrum organize accord weektopic instead dump everything one place
557,WIE3007,positive,4,syllabus teach need line taught online
558,WIE3008,neutral,3,need handson demonstration lecturer also need necessary guidance use software mostly use realworld industry eg power bi
559,WIE3008,neutral,3,lecturer clearer assessment schedule
560,WIE3008,neutral,3,regular fill comprehensive learning schedule meet current need
561,WIE3008,positive,4,teach interactive commit learning
562,WIE3008,positive,4,syllabus teach give reference
563,WIE3008,positive,5,course content overlap course refer course structure top university another country like nu ntu singapore
564,WIE3008,positive,4,s
565,WIE3008,positive,4,course many similarity data mining course especially talk data warehouse content course general less technical
566,WIE3008,positive,5,course content overlap data mining subject would great introduces new stuff related business analytics tackle data problem business scenario
567,WIE3008,neutral,3,would great dr yana could give u slides class start want take note dr teach tt
568,WIE3008,positive,4,whole course content revise follow top university course
569,WIE3008,neutral,3,learn process good overall hope learn technical practical skill invite speaker not_just theory
570,WIE3008,positive,4,dr liyana best lecturer always give u food tq dr liyana cute
571,WIE3008,negative,1,assignment give last minute although doable understandable due circumstance would better student give assignment earlier long time prepare
572,WIE3008,negative,1,usage google classroom make bit hard alternate spectrum google classroom although not_a big deal would better subject material spectrum
573,WIE3008,positive,4,q
574,WIE3010,positive,4,theory part fun would better practical theory emphasize well
575,WIE3010,positive,4,course well design sa software bit pointless learn
576,WIE3010,positive,4,
577,WIE3010,positive,4,
578,WIE3010,positive,4,
582,WIE3010,positive,5,would great dr kasturi could inform u information quiz week earlier instead week earlier day earlier
583,WIE3010,positive,4,lecturer deliver content effectively attractively
584,WIE3010,positive,4,grateful course thank knowledge
585,WIE3010,neutral,3,tutorial assignment submission not_made public others see
586,WIE3010,positive,4,provide learning material earlier lecture day
587,WIF3005,positive,4,
588,WIF3005,positive,5,overall ok progress check mark scheme quite weird
589,WIF3005,positive,4,
590,WIF3005,positive,4,
591,WIF3005,positive,4,current teach assessment schedule follow schedule outline course information document change make suddenly not_documented properly lecture assessment
592,WIF3005,positive,4,
593,WIF3005,positive,4,lecture note simplify showcase reallife application
594,WIF3005,positive,4,
595,WIF3005,positive,4,
596,WIF3005,positive,4,
597,WIF3005,positive,5,content course update current industry application examples specify principle approach currently use industry leave outdated
598,WIF3005,negative,2,leave outdated principle approach many concept grasp concept outdated not_be emphasize much add example
599,WIF3005,neutral,3,book reference course available library currently
600,WIF3006,positive,4,qui qui expedita dictum rerum deserunt sit ratione libero error dictum
601,WIF3006,positive,4,
602,WIF3006,neutral,3,vel minimum non rerum voluptatem facere mollitia atque id ex amet saepe tempor earum ea magnam reprehenderit
603,WIF3006,positive,4,
604,WIF3006,positive,4,
605,WIF3006,positive,4,
606,WIF3006,positive,4,
607,WIF3006,positive,4,
608,WIF3006,positive,4,
609,WIF3007,negative,2,waste lot time thing not_related study really master design pattern
610,WIF3007,neutral,3,hectic
611,WIF3007,neutral,3,hectic
612,WIF3007,positive,4,
613,WIF3007,positive,4,
614,WIF3007,positive,4,
615,WIF3007,positive,4,
616,WIF3007,positive,4,clear useful lecture
617,WIF3007,positive,4,
618,WIF3007,positive,4,
619,WIF3008,neutral,3,dr would explain something not_follow like say project way say wrong unimpressive
620,WIG3008,negative,2,lecturer not_skip class
621,WIH3003,positive,4,include aws give chance student go aws certification exam
622,WIH3003,positive,4,good please keep give module teach save major god sake lecturer bulshhit id pay
623,WIH3003,neutral,3,course good sometimes advanced handle normal device instal run virtual machine big data software overall course structure knowledgeable
624,WIH3003,negative,2,pace course quite fast class still fun regardless
625,WIH3003,positive,5,dr riyaz make content delivery manageable understandable creative thank
626,WIH3003,positive,5,include aws course content well possible
627,WIH3003,positive,4,good please keep give module teach save major god sake lecturer bulshhit id pay
628,WIH3003,positive,5,lecturer nice provide feedback kind question
629,WIH3003,negative,5,learn process improve lecturer speaks clearly not_teach fast sometimes class incomprehensible always make student pressured keep
630,WIH3003,positive,4,good please keep give module teach save major god sake lecturer bulshhit id pay
631,WIX1001,positive,4,
632,WIX1001,positive,4,
633,WIX1001,positive,4,
634,WIX1001,positive,4,
635,WIX1001,neutral,3,lecturer never reply email
636,WIX1001,positive,4,dr erma helpful way thank
637,WIX1001,positive,4,
638,WIX1001,positive,4,
639,WIX1001,positive,4,
640,WIX1001,negative,2,online record not_that efficient
641,WIX1001,positive,4,
642,WIX1001,positive,4,
643,WIX1001,neutral,3,please quiz subjective form rather give mcq multiple answer demotivate student interested course
644,WIX1001,positive,5,please give extra worksheet solution spectrum good student practice question
645,WIX1001,neutral,3,one best teacher ever life
646,WIX1001,negative,2,quiz do spectrum exam not_have time limit question
647,WIX1001,positive,4,
648,WIX1001,positive,4,
649,WIX1001,positive,4,
650,WIX1001,neutral,3,lecture slide available prior lecture least week student time go thru slide attend lecture
651,WIX1001,positive,4,teacher interact u
652,WIX1001,positive,4,reduce pressure homework
653,WIX1001,neutral,3,please quiz subjective form rather give mcq multiple answer demotivate student interested course
654,WIX1001,positive,5,please give extra worksheet solution spectrum good student practice question
655,WIX1001,neutral,3,provide time student answer question test not_everyone think fast student easily panic answer incorrectly
656,WIX1001,positive,5,good
657,WIX1001,neutral,3,maintain online class
658,WIX1001,positive,4,
659,WIX1001,positive,4,
660,WIX1001,positive,4,
661,WIX1001,positive,4,
662,WIX1001,positive,5,good
663,WIX1001,neutral,3,maintain online class
664,WIX1001,positive,4,
665,WIX1001,positive,4,
666,WIX1001,positive,4,provide material question answer student know answer question exam
667,WIX1001,positive,5,good
668,WIX1001,neutral,4,maintain online class
669,WIX1001,positive,4,
670,WIX1001,positive,4,
671,WIX1001,positive,4,
672,WIX1001,positive,4,reduce pressure examination
673,WIX1001,positive,4,teacher give u feedback time
674,WIX1001,positive,4,
675,WIX1001,positive,4,
676,WIX1001,negative,1,facility faculty always not_working waste tutorial time please improve efficiency learn equipment faculty
677,WIX1001,positive,4,
678,WIX1001,positive,4,
679,WIX1001,positive,4,think lecture slide available week prior lecture
680,WIX1001,positive,4,
681,WIX1001,negative,2,online quiz system alter would rather sit lecture hall take quiz wherever want limit time
682,WIX1001,positive,5,please provide office hour 23 hour per week inquire academic related question maybe hire ta set forum student ask math question dr reply
683,WIX1001,positive,4,please provide office hour 23 hour per week inquire academic related question maybe hire ta
684,WIX1001,positive,4,practice midterm exam provide correct answer dr suzan good shorten easy one explanation lengthen hard one explanation please
685,WIX1001,negative,2,need power socket lecture halls student plug laptops lecture test
686,WIX1001,neutral,3,provide time student answer question test not_everyone think fast student easily panic answer incorrectly
687,WIX1001,positive,5,good
688,WIX1001,positive,4,give note
689,WIX1001,negative,1,dont know many theory course think practical much beneficial future career enhance skill
690,WIX1001,positive,4,
691,WIX1001,positive,4,
692,WIX1001,positive,4,
693,WIX1001,positive,5,good
694,WIX1001,positive,4,give quiz
695,WIX1001,negative,2,hope lecturer stop reading slide not_point im go class
696,WIX1001,positive,4,provide material question answer student know answer question exam
697,WIX1001,positive,5,good
698,WIX1001,positive,4,give online class
699,WIX1001,positive,4,simulated exam question share answer well
700,WIX1001,positive,4,
701,WIX1001,positive,4,
702,WIX1001,positive,4,
703,WIX1001,positive,4,believe method deduct mark question get wrong mcq irrational least announce early preparation make
704,WIX1001,negative,2,doctor friendly bias towards student online class not_good need improved
705,WIX1001,negative,2,problem solve make student wider knowledge doctor doesnt teach something give different thing exams
706,WIX1001,neutral,3,practical thing do dr need involved student not_focusing good student
708,WIX1001,positive,5,good
710,WIX1001,positive,4,calculation base would math
711,WIX1001,positive,5,test every time limited time section make time narrow broad question
712,WIX1001,neutral,3,please dont give lot difficult question test student
713,WIX1001,positive,4,
714,WIX1001,negative,1,1 poor content hard understand need update regularly 2 dont put midterm quiz exam date close tough get prepare 3 tutorial solve provide lecturer submission
715,WIX1001,positive,4,course assignment multiply form act video
716,WIX1001,positive,5,good
718,WIX1001,neutral,3,dr susans accent little hard u malaysian ok
719,WIX1001,positive,4,
720,WIX1001,negative,4,1 make tutorial duration one half hour 2 try explain topic example not_a draft one clear one please 3 teach way dont go youtube understand
721,WIX1001,positive,4,student also share ideas end class
722,WIX1001,positive,5,good
724,WIX1001,positive,5,perfect environment actually
725,WIX1001,positive,4,
726,WIX1001,positive,5,1 use either ms team spectrum 2 lecturer share pdf book follower course 3 small library faculty core course book faculty building
727,WIX1001,negative,2,often face problem computer make difficult professor efficiently explain topic unable write screen
728,WIX1001,positive,4,make use various facility use mass medium technology
729,WIX1001,neutral,3,answer wrong time
730,WIX1001,positive,4,
731,WIX1001,positive,4,
732,WIX1001,negative,2,answer explain board also instead explain verbally since math need clear step step
733,WIX1001,positive,4,
734,WIX1001,positive,4,
735,WIX1001,negative,2,learn process improve interactive answering student question guide not_just give final answer
736,WIX1001,negative,1,lecturer know teach lecturer discuss answer not_use mic make hard hear say dont understand teach well
737,WIX1001,neutral,3,lazy show solution
738,WIX1001,positive,4,
739,WIX1001,positive,4,
740,WIX1001,negative,1,tutorial not_totally solve not_evaluated class not_properly take come solve 12 problem depend others tutorial class need change system dr
741,WIX1001,positive,4,tutorial team medium communication student alert
742,WIX1001,negative,1,tutorial not_totally solve not_evaluated class 1 hour do within 20 minute leave class not_how work attend others tutorial class need change
743,WIX1001,negative,2,change replace good teacher know proper english deliver good lecture not_solving 23 problem do within 15 min need replace
744,WIX1002,positive,4,
745,WIX1002,negative,2,level assignment beyond far learned lecture overburden especially not_basic programming
746,WIX1002,neutral,3,one thing flow fast mean chapter
747,WIX1002,positive,4,
748,WIX1002,neutral,3,show part need learn
749,WIX1002,positive,4,
750,WIX1002,negative,1,let u know continue assessment mark cause feel suspicious evaluation since student occ get b c grade id do viva also project
751,WIX1002,negative,1,need improve evaluation student assignment report avoid deduct unnecessary mark away student assignment
752,WIX1002,positive,4,
753,WIX1002,negative,2,mid term exam mcq dont need deduct mark
754,WIX1002,positive,4,lecture least form student regard fyp mark scheme grade greatly differ class even though submit similar good project
755,WIX1002,positive,4,
756,WIX1002,negative,1,stuff learn not_enough assignment advance
757,WIX1002,negative,2,air con mm3 colder hot crowd space
758,WIX1002,positive,4,
759,WIX1002,positive,4,teach related implement thing learn use knowledge final exam
760,WIX1002,negative,1,hope direct demonstration tutorial session not_lecturer always ask student present not_paying student teach
761,WIX1002,positive,4,come class time
762,WIX1002,positive,4,tutorial labs explain detail
763,WIX1002,positive,5,tutor cancel activity randomly ask student answer question
764,WIX1002,positive,4,
765,WIX1002,positive,5,would good week overview update group project progress time student prepare fix fix final presentation
766,WIX1002,positive,4,course need lot attention
767,WIX1002,positive,4,
768,WIX1002,positive,4,
769,WIX1002,positive,4,
770,WIX1002,neutral,3,remove use negative marking method mark test
771,WIX1002,positive,5,good
772,WIX1002,positive,4,
773,WIX1002,neutral,3,please midterm test practical form rather give mcq multiple answer demotivate student interested course
774,WIX1002,positive,5,good
775,WIX1002,positive,4,
776,WIX1002,positive,5,good
777,WIX1002,positive,4,
778,WIX1002,positive,4,good possible reduce amount student tutorial class
779,WIX1002,positive,4,
780,WIX1002,positive,5,good
781,WIX1002,positive,4,
782,WIX1002,positive,5,good
783,WIX1002,negative,2,many assignment hard focus practice cod
784,WIX1002,neutral,3,problem need solve provide student idea
785,WIX1002,positive,5,student taught elaborate detailed way get good knowledge topic issue
786,WIX1002,positive,5,love video u make tutorial totally useful
787,WIX1002,positive,5,problem solve lab computer improve used teach student
788,WIX1002,positive,4,
789,WIX1002,negative,2,level assignment beyond far learned lecture overburden especially not_basic programming
790,WIX1002,positive,4,level fop assignment complicate 10x harder task learn lecture
791,WIX1002,neutral,3,think could adjustment topic taught
792,WIX1002,positive,4,group projectassignments requirement beyond weve learn ask gui without experience anyone teach u advanced actual course content
793,WIX1002,neutral,3,demerit system test wrong answer minus mark result student get low mark quiz test first see suitable
794,WIX1002,positive,4,
795,WIX1002,positive,5,detail chapter explain lecture
796,WIX1002,positive,4,
797,WIX1002,neutral,3,lecturer not_qualified enough deliver standard class student want know program language good lecturer really need get good output java language
798,WIX1002,negative,1,slide not_mature enough not_giving sample pas year midterm practice exam refer mit cmu others top c university course provide enough practice exam
799,WIX1002,negative,1,course structure bad not_basics teach imagine without basic knowledge cod start swallow everything without real understanding quiz mark deduction huhhhh
800,WIX1002,neutral,3,teach fast pls calm
801,WIX1002,negative,1,syllabus fast pace really difficult catch student not_have basic coding
802,WIX1002,positive,4,lecturer reduces speed teach
803,WIX1002,positive,5,teach concrete knowledge introduce concept guide code lecture instead ask student code treat everyone novice job get pay
804,WIX1002,negative,2,bad especially online session dr burhan weak audio presentation without annotation student need spend time learn youtube
805,WIX1002,positive,4,teach slow example
806,WIX1002,positive,4,cod example provide slide
807,WIX1002,negative,2,lecturer could understand procedure help student would really improve learn process student professor really need good spoken english
808,WIX1002,negative,2,qualified lecturer must well course really want see good professor future
809,WIX1002,positive,4,install socket please especially lecture hall must every c student socket socket socket change table chair get alots already damage
810,WIX1002,negative,2,material give huhhhhh c without explanation example deep topic much knowledge little example assess not_even taught hello
811,WIX1002,negative,1,lab assignment group work difficult student not_good programming
812,WIX1002,negative,1,say course bad course ever first semester lecture really unclear confuse everything seem really confusing really depress
813,WIX1002,positive,4,
814,WIX1002,positive,4,
815,WIX1002,neutral,3,lecture improve lecture improve lot friend struggle lot realize lecture really hard cope course work
816,WIX1002,positive,4,
817,WIX1002,negative,2,course need lot improvement face lot problem throughout course really confuse depress time course need attention
818,WIX1002,positive,4,focus educate student actual best practice use industry
819,WIX1002,positive,4,fop good not_need improvement bro
820,WIX1002,neutral,3,go depth proper fundamental need let student build strong foundation program whole course basically feel like summary sheet make student exam
821,WIX1002,positive,4,
822,WIX1002,neutral,3,decrease difficulty final exam
823,WIX1002,neutral,3,decrease difficulty final exam
824,WIX1002,positive,4,okay
825,WIX1002,positive,4,
826,WIX1002,neutral,3,decrease difficulty final exam
827,WIX1002,positive,4,make space lecture hall big pls
828,WIX1002,positive,4,
829,WIX1002,positive,4,course assignment multiply form act video
831,WIX1002,negative,2,beginner program personally think lecture tutorial fop still manageable not_the viva assignment quite difficult thus overburden student
832,WIX1002,positive,4,think dr saw great lecture session quick informative maybe teach slightly slow detailed
833,WIX1002,negative,2,well watch youtube go class taught lecture slide bare bone compare lab exam question
834,WIX1002,positive,4,
835,WIX1002,positive,4,course assignment multiply form act video
837,WIX1002,positive,4,
838,WIX1002,positive,4,make use various facility use mass medium technology
839,WIX1002,negative,2,need power socket lecture halls student plug laptops lecture test
840,WIX1002,positive,4,
841,WIX1002,positive,4,lab question really hard understand weve learn not_support u finish work perfectly
842,WIX1002,positive,4,focus educate student actual best practice use industry
843,WIX1002,negative,2,assignment difficult everything outside syllabus expect learn gui data structure stuff course teach basic
844,WIX1002,positive,4,
845,WIX1002,neutral,3,decrease difficulty final exam
846,WIX1002,negative,2,come earlier know every time dr burhan come late go smoke smoke smell strong every time go overtime suppose 7 oclock finish class every time 730 finish
847,WIX1002,neutral,3,strict dr burhan unfriendly
848,WIX1002,negative,2,please remove man faculty amount mental damage suffer throughout course proportional many time show late class
849,WIX1002,neutral,3,tutorial class less stressful boring pls also viva dr burhan different lecturer
850,WIX1002,positive,4,face challenge quite difficult understand word speak lecturer repeat several time able understand
851,WIX1002,positive,4,
852,WIX1002,neutral,3,decrease difficulty final exam
853,WIX1002,negative,2,come earlier know every time dr burhan come late go smoke smoke smell strong every time go overtime suppose 7 oclock finish class every time 730 finish
854,WIX1002,negative,2,come earlier know every time dr burhan come late go smoke smoke smell strong every time go overtime suppose 7 oclock finish class every time 730 finish
855,WIX1002,negative,2,maybe chair tutorial class every week people take chair outside place sit
856,WIX1002,positive,4,recording also provide relevant title review process even class conduct f2f formattq
857,WIX1002,positive,4,
858,WIX1002,neutral,3,decrease difficulty final exam
859,WIX1002,positive,4,course assignment multiply form act video
861,WIX1002,neutral,2,lecture tutorial still manageable viva assignment quite challenge especially beginner program
862,WIX1002,negative,2,dr always go extra mile explain topic not_in syllabus also explain concept many example ensure understand topic
863,WIX1002,negative,1,thing learn not_really related assignment lab tutorial question also not_enough cover final
864,WIX1002,negative,2,fire burhan everyone doesnt like
865,WIX1002,positive,4,slide well
866,WIX1002,positive,4,student also share ideas end class
867,WIX1002,neutral,3,dr burhans pronunciation little hard heard maybe try speak slow student understand without disturbance accent
868,WIX1002,positive,5,topic crash viva need learn
869,WIX1002,negative,2,literally dont know he teach
870,WIX1002,positive,4,make use various facility use mass medium technology
871,WIX1002,neutral,3,power socket provide lecture hall student plug laptops lecture test
872,WIX1002,negative,2,mid sem exam irrelevant study dont even know expect assess everyone come unprepared kind question not_one cod way lol
873,WIX1002,positive,4,lecturer explain clearly actually teach student
874,WIX1002,positive,4,
875,WIX1002,negative,2,dr burhan shouldve slow make sure understand instead fast give hard tutorial first week not_treat bachelor student primary school student
876,WIX1002,neutral,3,well lecturer didnt extend class duration would perfect
877,WIX1002,positive,4,hope way asks student focus class well good lecturer polite
878,WIX1002,positive,4,
879,WIX1002,negative,2,dismiss class time
880,WIX1002,negative,1,lecturer not_clear deliver information not_hands activity accuse others cheat reality
881,WIX1002,negative,1,lecturer flexible allow student speak give lecture not_be sensitive towards student not_giving full attention
882,WIX1002,positive,4,cont frm understand good deed indeed behavior actually drag time teach lecture last 30min1 hour longer frighten student well
883,WIX1002,neutral,3,update late past year exam paper exam repository easily accessible student practice prepare final exam
884,WIX1002,positive,4,
885,WIX1002,positive,4,
886,WIX1002,positive,4,disagree use negative marking method test
887,WIX1002,positive,5,good
888,WIX1002,positive,4,
889,WIX1002,positive,4,teammate freeriders lmao
890,WIX1002,positive,4,think project continuous assessment difficult especially inappropriate student get hand program ask create complex project
891,WIX1002,positive,4,subject fun depend lecturer
892,WIX1002,positive,4,
893,WIX1002,positive,4,dr burhan always drag lecture session affect student schedule also sometimes invades privacy check browse history google
894,WIX1002,positive,5,good
895,WIX1002,positive,4,
896,WIX1002,positive,5,implement exercise real time cod demonstration similar dk1 lecture time end later schedule
897,WIX1002,negative,1,prepare code earlier dont drag time another class go
898,WIX1002,positive,4,
899,WIX1002,positive,5,good
900,WIX1002,positive,4,
901,WIX1002,positive,4,
902,WIX1002,negative,1,1 poor content doesnt cover necessary topic tutorial labs vivas project 2 need complete proper workshop github not_a fuck show 3 need guideline workshop project
903,WIX1002,positive,4,tutorial class would better doctor explain u lab cod
904,WIX1002,negative,2,teachinglearning relevant current situation programming world image manipulation application not_being taught
905,WIX1002,negative,1,1 remove negative mark midterm 2 assessment method highly overburden 3 lecturer doesnt use mic write board cant see clearly 4 put10011002final different day
906,WIX1002,negative,2,way teach good arent allow talk friends lecture even though discuss thing relevant lecture call student talk
907,WIX1002,negative,1,1 dont teach assume already know java 2 dont racist rude moody class friendly 3 dont make class long finish 1 hour 4make stu freetoleave class
909,WIX1002,negative,2,doctor rude arrogant lecture method ridiculous waste 1 hour 5 credit class make people read slide not_helpful rude arrogant proud himslef
910,WIX1002,negative,2,interactive not_burden student lecture
911,WIX1002,neutral,3,learn process improve try different approach teach student instead show slide screen
912,WIX1002,negative,1,student not_be treat like high schoolers time waste scold two people talk entire class not_even disruptive
913,WIX1002,negative,2,make student feel demotivated make read slide write board isnt way teach cod ridiculous teacher arrogance rudeness
914,WIX1002,positive,4,integrate lighthearted course field related discussion class encourage interactiveness make easy student uncomfortable ask question also give input
915,WIX1002,negative,2,difficult see presentation hall screen not_sufficiently clear mic fix lecturer also improve audio clarity allow lecturer move around
916,WIX1002,negative,2,need change doctor lecture elaborate practical not_letting drown open syllabus need change racism rude teacher
917,WIX1003,positive,5,good
918,WIX1003,negative,1,poor steal content nu content shameful inform lab lab project begin semester need class assembly language mcu 8051 ide didnt learn anything lab
919,WIX1003,positive,4,
920,WIX1003,positive,5,good
921,WIX1003,negative,2,lecturer could explain concept well give example tutorial session improve discuss answer live spot not_using past answer
922,WIX1003,negative,1,get many wrong question midterm irresponsible lab show not_refer youtube video need complete demonstration thinkercad not_past record fuck video
923,WIX1003,negative,1,teacher accent clear student even say sometimes doesnt feel like he speak english
924,WIX1003,positive,4,
925,WIX1003,positive,5,good
926,WIX1003,negative,2,update course material every year find easy way explain student not_recorded video please need effective lab tutorial session
927,WIX1003,positive,4,
928,WIX1003,positive,4,
929,WIX1003,positive,4,
930,WIX1003,negative,1,lecture class technical issue slide pointer not_be see lecturer seem not_to know please make sure student see slide well
931,WIX1003,negative,1,sometimes lecture not_understandable dr tends speed lecture note
932,WIX1003,negative,2,couldnt really understand lecture could work english think maybe thats
933,WIX1003,positive,4,
934,WIX1003,positive,4,expand faculty
935,WIX1003,positive,4,normal lab tutorial two quite different thing make subject bit difficult learnthis subject also not_suitable taught online semester mostly online
936,WIX1003,positive,5,good
937,WIX1003,neutral,3,lecturer explain lecture
938,WIX1003,positive,5,good
939,WIX1003,positive,5,good
940,WIX1003,negative,1,regard software like ides driver would beneficial take account not_only windows operating system also include consideration operate system apple
941,WIX1003,negative,1,teaching not_clearly understood lecture not_organized good finish lecture week early important note teach 3 week lecture
942,WIX1003,negative,2,thing really missed whole course good english speaking teacher
943,WIX1003,positive,4,
944,WIX1003,positive,4,
945,WIX1003,positive,4,
946,WIX1003,negative,1,course deliver not_step step tough without comp sci knowledge seem like course take every student expert comp sci field
947,WIX1003,positive,4,
948,WIX1003,positive,4,
949,WIX1003,positive,4,
950,WIX1003,negative,1,lecture deliver not_clear disappointed tell lecturer ask google question also lecturer deliver everything less explanation
951,WIX1003,positive,4,
952,WIX1003,positive,4,
953,WIX1003,positive,4,
954,WIX1003,negative,1,help note give powerpoint content not_even check whether correct wrong example give understand less simulated exam question
955,WIX1003,positive,4,
956,WIX1003,positive,4,
957,WIX1003,positive,4,
958,WIX1003,positive,4,expand college
959,WIX1003,negative,1,stuff learn electrical engineering not_really clear implement learn workplace future
960,WIX1003,positive,4,
961,WIX1003,positive,4,
962,WIX1003,positive,4,dr emran youre favorite lecturer
963,WIX1003,positive,4,lecturer nice patient explain problem answer
964,WIX1003,positive,5,mr emran remarkable tutor would love lecturer well instead tutor teach method effective understanding cso
965,WIX1003,positive,4,
966,WIX1003,positive,4,
967,WIX1003,positive,4,good lecturer time good delivering savior subject
968,WIX1003,positive,4,really like extra slide way teach tutorial session understand everything
969,WIX1003,negative,1,sometimes dr speaks malay language class not_kind international student
970,WIX1003,negative,1,air con bk2 check improved sometimes not_cold hot
971,WIX1003,positive,4,
972,WIX1003,positive,4,
973,WIX1003,positive,5,answer tutorial question share answer pass year question well
974,WIX1003,positive,5,love tutorial class hope get class next sem
975,WIX1003,positive,4,
976,WIX1003,negative,2,teach detailed tutorial not_finished discuss spend much time question
977,WIX1003,positive,4,tutorial question discuss
978,WIX1003,positive,4,
979,WIX1003,positive,4,course assignment multiply form act video
980,WIX1003,negative,1,dr doesnt know speak english lecture worst need replace student didnt attend last class
981,WIX1003,positive,4,student also share ideas end class
982,WIX1003,positive,4,teach recording also upload spectrum review student even class f2f
983,WIX1003,positive,4,experienced teacher introduce dr not_enough use read slide never enough complete course
984,WIX1003,positive,4,make use various facility use mass medium technology
985,WIX1003,positive,4,whiteboard lecture hall completely clean trace old writing still leave
986,WIX1003,neutral,3,online video seem acceptable learning module
987,WIX1003,negative,2,experienced teacher good delivery lecture need introduce teacher not_let topic burden student
988,WIX1003,positive,4,
989,WIX1003,positive,4,
990,WIX1003,positive,4,
991,WIX1003,positive,4,please improve lecture note
993,WIX1003,positive,4,tey kok soon really good lecturer
995,WIX1003,positive,4,
996,WIX1003,negative,1,dedicate class hour labs easy feel lose labs become burdensome tutorial labs without direct guidance advice
997,WIX1003,positive,4,
998,WIX1003,positive,4,lecturer simplifies topic provide clear explanation
999,WIX1003,positive,4,
1000,WIX1003,positive,4,course need bit detailed
1001,WIX1003,positive,4,assignment task give quite last minute require submit short time period suggest give assignment task earlier reduce burden student
1002,WIX1003,positive,4,slide improve lack detail explanation didnt list sometimes circuit check cod lab ask question bit fierce
1003,WIX1003,positive,4,give online class
1004,WIX1003,negative,1,cant fully understand whats relevance course major software engineering felt confused course related electrical engineering
1005,WIX1003,positive,5,long focus lecturer not_problem understand
1006,WIX1003,negative,1,please set regular least 23 hour office hour per week student consult course not_providing tas academic question need confirmed class not_be ask
1007,WIX1003,neutral,3,decrease difficulty final exam
1008,WIX1003,positive,5,good form group
1009,WIX1003,neutral,3,decrease difficulty final exam
1010,WIX1003,neutral,3,power socket provide lecture hall student plug laptops lecture test
1011,WIX1003,negative,1,please give least 23 slot 23 hour office hour per week thank course doesnt ta
1012,WIX1003,positive,4,course assignment multiply form act video
1013,WIX1003,negative,2,teacher take class malay doesnt know solve boolean problem come rest
1014,WIX1003,positive,4,student also share ideas end class
1015,WIX1003,positive,5,experienced teacher involve good lecture take
1016,WIX1003,positive,4,make use various facility use mass medium technology
1017,WIX1003,positive,4,condition whiteboard stroustop laboratory quite dilapidated trace write not_be remove recommend whiteboard replace new one
1018,WIX1003,neutral,3,dr always answer question ask question team
1019,WIX1003,negative,1,teacher talk class not_one understand online record not_bad though strongly recommend video learn
1020,WIX1003,positive,4,elaborate lecture need take labs difficult lecture resource give help student
1021,WIX1003,positive,5,good
1022,WIX1003,positive,5,good
1023,WIX1003,positive,5,good
1024,WIX1003,positive,4,please improve slide
1028,WIX2001,positive,5,nice course
1029,WIX2001,positive,4,game interest
1030,WIX2001,neutral,3,nothing improve
1031,WIX2001,positive,4,not_improvement need
1032,WIX2001,positive,4,love course like course feel not_pressure guarantee ig
1033,WIX2001,positive,4,everything good
1034,WIX2001,neutral,3,online method use instead physical class
1035,WIX2001,positive,4,2 version lecture slide provide spectrum may standardize give one version reduce confusion
1036,WIX2001,positive,4,
1037,WIX2001,positive,4,
1038,WIX2001,positive,4,
1039,WIX2001,positive,4,
1040,WIX2001,positive,4,
1041,WIX2001,positive,4,
1042,WIX2001,positive,5,sulam project process similar another course gig1005 social engagement take previous semester
1043,WIX2002,positive,4,
1044,WIX2002,positive,4,
1045,WIX2002,positive,4,
1049,WIX2002,positive,4,not_suggestions
1050,WIX2002,positive,4,not_improvement
1051,WIX2002,positive,4,good
1052,WIX2002,positive,4,complicate sentence lecture note include example
1053,WIX2002,neutral,3,lecture note jot lecture
1057,WIX2002,neutral,3,nothing improve
1058,WIX2002,positive,5,would well dr provide tutorial question file answer student selfstudy purpose
1059,WIX2002,positive,4,good enough
1060,WIX2002,positive,4,reply question occurrence consistent make student clear assignment
1061,WIX2002,positive,4,may standardize make announcement assignment requirement sometimes different answer give question across different occurrence
1062,WIX2002,positive,5,dr could give rubric advance assignment qna session standardize answer
1063,WIX2002,positive,4,satisfy everything
1064,WIX3002,positive,4,comment data visualization please inform u early test quiz
1065,WIX3002,negative,2,dont really understand purpose subject
1066,WIX3002,neutral,3,dr willing help student face technical issue really appreciate hereby deliver sincere gratitude
1067,WIX3002,positive,4,suggest lecturer not_present coursework time fyp viva
1068,WIX3002,negative,2,note not_very update
1069,WIX3002,neutral,3,lecturer give tutorial question early class student prepare
1070,WIX3002,neutral,3,learn process improve content teaching cover class ask test exams unfair student less experience knowledge certain topic
1071,WIX3002,positive,5,note update recent content
